,creator_id,discuss_num,sort_no,topic_type,start_time_year,start_time_month,start_time_day,start_time_week,start_time_timestamp,end_time_year,end_time_month,end_time_day,end_time_week,end_time_timestamp,liked_num,clap_num,top_flag,vote_num,status,hot_flag,topicID
0,18,8,1,1,2019,6,5,23,6403.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,1
2,10,0,1,1,2019,4,1,14,0.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,3
4,10,71,1,1,2019,6,5,23,6403.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,5
5,19,19,1,1,2019,6,10,24,6894.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,6
6,10,2,1,1,2019,4,3,14,193.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,7
7,10,1,1,2,2019,4,3,14,217.0,2019,4,23,17,0.0,0,0,0,5,0.0,1,8
8,1,43,1,1,2019,6,5,23,6403.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,9
10,8,0,1,2,2019,4,16,16,1459.0,2019,4,26,17,30.0,0,0,0,3,0.0,1,11
11,8,0,1,2,2019,4,16,16,1478.0,2019,4,27,17,40.0,0,0,0,1,0.0,0,12
12,8,39,1,2,2019,6,3,23,6198.0,2019,4,27,17,40.0,0,0,0,95,0.0,0,13
13,10,0,1,1,2019,4,23,17,2141.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,14
14,10,0,1,1,2019,4,23,17,2142.0,2019,7,31,31,1000.0,0,0,0,0,0.0,1,15
15,8,27,1,1,2019,4,23,17,2143.0,2019,7,31,31,1000.0,0,0,0,0,0.0,1,16
16,18,93,1,1,2019,6,10,24,6894.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,17
17,10,49,1,1,2019,6,5,23,6403.0,2019,7,31,31,1000.0,0,0,0,0,1.0,0,18
18,10,0,1,1,2019,4,26,17,2454.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,19
19,10,0,1,1,2019,4,26,17,2455.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,20
22,9,66,1,2,2019,6,10,24,6894.0,2019,7,1,27,697.0,0,0,0,723,0.0,1,23
24,8,2,1,2,2019,6,10,24,6894.0,2019,6,8,23,465.0,0,0,0,12,0.0,0,25
25,18,0,1,1,2019,6,9,23,6769.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,26
26,9,237,1,1,2019,6,11,24,6979.0,2019,7,31,31,1000.0,0,0,0,0,1.0,0,27
27,19,0,1,1,2019,6,11,24,6978.0,2019,7,31,31,1000.0,0,0,0,0,1.0,1,28
28,19,0,1,1,2019,6,11,24,6979.0,2019,7,31,31,1000.0,0,0,0,0,1.0,1,29
29,19,565,1,1,2019,6,11,24,6979.0,2019,7,31,31,1000.0,0,0,0,0,1.0,1,30
30,8,76,1,1,2019,6,12,24,7071.0,2019,7,31,31,1000.0,0,0,0,0,1.0,1,31
31,10,0,1,1,2019,6,12,24,7072.0,2019,7,31,31,1000.0,0,0,0,0,0.0,0,32
32,10,627,1,1,2019,6,12,24,7072.0,2019,7,31,31,1000.0,0,0,0,0,1.0,0,33
34,19,297,1,2,2019,6,13,24,7153.0,2019,6,20,25,586.0,0,0,0,1034,1.0,0,35
